shortId	type	title	slug	scenarioId	actionCount	n_actions	n_human	n_model	human_chars	model_chars	n_undone	n_deleted	n_images	first_at	last_at	n_days	memory_chars	an_chars	instr_chars	n_storycards	tags	scripts	types	path
CY0hqeEzp3Bu	adventure	Your a Talent Agent Looking for the Next Big Thing	CY0hqeEzp3Bu__your-a-talent-agent-looking-for-the-next-big-thing	1094143	2	2	1	1	307	315	0	0	0	2020-12-06T17:02:11.235Z	2020-12-06T17:02:24.206Z	1	840	149	0	0	nsfw		story=1;continue=1	exports/adventures/CY0hqeEzp3Bu__your-a-talent-agent-looking-for-the-next-big-thing
CYbeqQAsGDFm	adventure	Song Lyrics Generator	CYbeqQAsGDFm__song-lyrics-generator	1593457	4	4	2	2	553	751	0	0	0	2021-03-23T05:55:49.226Z	2021-03-23T05:57:45.023Z	1	105	64	0	5	song|lyrics|generator|i did it!|on my first try!		story=2;continue=2	exports/adventures/CYbeqQAsGDFm__song-lyrics-generator
CdAuA_bH6qAo	adventure	Your Cobralingus Engine has arrived!	CdAuA_bH6qAo__your-cobralingus-engine-has-arrived	1032920	123	123	60	63	10488	20201	0	0	0	2021-03-08T01:32:25.307Z	2021-03-08T02:47:16.392Z	1	1000	150	0	29	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		continue=63;story=60	exports/adventures/CdAuA_bH6qAo__your-cobralingus-engine-has-arrived
Cfj5A-UbcGPe	adventure	Load Wrangling Your Friends Hole	Cfj5A-UbcGPe__load-wrangling-your-friends-hole	1023016	7	7	3	4	753	1361	0	0	0	2020-12-24T08:09:36.787Z	2020-12-24T08:13:25.028Z	1	1000	148	0	0	nsfw|cumdump|quest		continue=4;story=3	exports/adventures/Cfj5A-UbcGPe__load-wrangling-your-friends-hole
CgptZ-BqRllg	adventure	Philosopher AI (v2.0)	CgptZ-BqRllg__philosopher-ai-v20	831277	5	5	2	3	420	915	0	0	0	2020-10-11T06:52:15.368Z	2020-10-11T06:55:35.359Z	1	415	118	0	0	philosopher|ai|philosophy|gpt-3|dragon|meaning of life|question and answer|conversation|intelligent|kevaday		continue=3;story=1;do=1	exports/adventures/CgptZ-BqRllg__philosopher-ai-v20
Co_VIIYA0GGm	adventure	Scenario Generator	Co_VIIYA0GGm__scenario-generator	614273	24	24	12	12	530	4576	0	0	0	2020-09-25T09:51:17.087Z	2020-09-25T10:03:03.858Z	1	776	0	0	0	scenarios|generator|simulator|ai|ai dungen|gpt-3|dragon		continue=12;do=11;story=1	exports/adventures/Co_VIIYA0GGm__scenario-generator
CuibrcqHizmo	adventure	JESTWORLD - Not Affiliated with the Westworld Podcast, We Own It Now.	CuibrcqHizmo__jestworld-not-affiliated-with-the-westworld-podcast-we-own-i	1067452	2	2	1	1	2001	244	0	0	0	2020-12-03T11:58:24.356Z	2020-12-03T11:58:30.523Z	1	995	150	0	0	nsfw|nsfw2|nsfw3|comedy|tw|cw|wb|westworld|colonialism|tits|cocks		story=1;continue=1	exports/adventures/CuibrcqHizmo__jestworld-not-affiliated-with-the-westworld-podcast-we-own-i
D7RcvGvMBLds	adventure	Textplainer	D7RcvGvMBLds__textplainer	875536	46	46	23	23	1018	7218	0	0	0	2020-10-06T17:25:01.191Z	2020-10-06T17:44:36.412Z	1	1000	0	0	0	explain|complex		story=23;continue=23	exports/adventures/D7RcvGvMBLds__textplainer
DB-CaK4PCc7H	adventure	AI Dungeon quizzes you on the Community Guidelines	DB-CaK4PCc7H__ai-dungeon-quizzes-you-on-the-community-guidelines	1215978	8	8	4	4	2199	1251	0	0	0	2021-01-12T02:59:26.661Z	2021-01-12T03:04:19.120Z	1	0	0	0	2	nsfw|digital girl|ai dungeon|ai girl|community|guidelines|professor|roleplay		story=4;continue=4	exports/adventures/DB-CaK4PCc7H__ai-dungeon-quizzes-you-on-the-community-guidelines
DBCqxT0-ksli	adventure	Your Cobralingus Engine has arrived!	DBCqxT0-ksli__your-cobralingus-engine-has-arrived	1032920	159	159	74	85	6980	25902	0	0	0	2021-06-01T00:27:16.202Z	2021-06-01T03:21:33.837Z	1	1000	150	0	29	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		continue=85;story=74	exports/adventures/DBCqxT0-ksli__your-cobralingus-engine-has-arrived
DItR6ies_euF	adventure	Dr. Knubble And The Fangs Of The Love Sharks.	DItR6ies_euF__dr-knubble-and-the-fangs-of-the-love-sharks	1097809	20	20	2	18	431	6334	0	0	0	2020-12-07T10:04:05.422Z	2020-12-07T10:15:19.872Z	1	999	145	0	0			continue=18;story=2	exports/adventures/DItR6ies_euF__dr-knubble-and-the-fangs-of-the-love-sharks
DTwR7LNl-iY9	adventure	The Mind Games	DTwR7LNl-iY9__the-mind-games	2351722	26	26	12	14	1322	4970	0	0	0	2021-11-10T08:25:24.833Z	2021-11-10T12:50:21.640Z	1	314	24	0	9	teams|riddles|mind twisters|games|challenge		continue=14;say=8;do=3;story=1	exports/adventures/DTwR7LNl-iY9__the-mind-games
Di-8K_lXDAn0	adventure	The Living Doll In The Dungeon	Di-8K_lXDAn0__the-living-doll-in-the-dungeon	2409932	20	20	10	10	1479	3033	0	0	0	2021-11-24T02:31:59.677Z	2021-11-24T02:43:05.601Z	1	711	0	0	0	nsfw|living|sex|doll|smut|dungeon|happyd0gg|domination		story=10;continue=10	exports/adventures/Di-8K_lXDAn0__the-living-doll-in-the-dungeon
Dky3vdtWLn2o	adventure	Creating a Non Fungible Token Collection about me and AID's adventures	Dky3vdtWLn2o__creating-a-non-fungible-token-collection-about-me-and-aids-a	1830752	33	33	19	14	1374	4429	0	0	0	2021-05-16T11:51:51.716Z	2021-05-16T12:32:38.852Z	1	84	148	0	0			story=19;continue=14	exports/adventures/Dky3vdtWLn2o__creating-a-non-fungible-token-collection-about-me-and-aids-a
Dof03dIxSEZ2	adventure	Reporter in a Superhero World. What Could Go Wrong?	Dof03dIxSEZ2__reporter-in-a-superhero-world-what-could-go-wrong	2423946	61	61	27	34	2803	8856	0	0	18	2022-01-13T23:43:15.540Z	2022-01-14T00:14:25.836Z	2	314	30	0	1	reporter in a superhero|world|what could go wrong?|zoopy|action|adventure|can you get yourself out?		continue=34;story=26;start=1	exports/adventures/Dof03dIxSEZ2__reporter-in-a-superhero-world-what-could-go-wrong
DsWdQzNmHCS1	adventure	Interview with a Unit of Child Pornography	DsWdQzNmHCS1__interview-with-a-unit-of-child-pornography	1786305	64	64	44	20	7033	6226	0	0	0	2021-05-03T22:44:36.454Z	2021-05-04T02:48:36.220Z	2	999	150	0	0	nsfw		story=44;continue=20	exports/adventures/DsWdQzNmHCS1__interview-with-a-unit-of-child-pornography
Dz1Vmt66B2hh	adventure	AirBNBed the Sketchy Sex Pad Your Parents Second Honeymoon?	Dz1Vmt66B2hh__airbnbed-the-sketchy-sex-pad-your-parents-second-honeymoon	1020865	22	22	9	13	677	3310	0	0	0	2020-11-24T18:42:28.202Z	2020-11-25T00:33:37.461Z	2	607	112	0	0	nsfw|sketchysex|gayporn|airbnb|hospitality|nonlinearcumpdump|customerfanservice|u=u|pnp|imonit|chemsexcomedy		continue=13;story=9	exports/adventures/Dz1Vmt66B2hh__airbnbed-the-sketchy-sex-pad-your-parents-second-honeymoon
E3h_a3qPXBnP	adventure	Left Behind: After Dark	E3h_a3qPXBnP__left-behind-after-dark	915452	16	16	8	8	1739	2096	0	0	0	2020-10-27T02:01:56.342Z	2020-10-27T02:15:51.277Z	1	90	75	0	0	nsfw|jesus|endtimes|is your soul hard?|xtianerotica|allroadsleadtomoreroads|charismatics|eschatology|abominationofdesolation|hardcore		story=8;continue=8	exports/adventures/E3h_a3qPXBnP__left-behind-after-dark
E5ts__sCZigJ	adventure	finish these lyrics	E5ts__sCZigJ__finish-these-lyrics	1035180	6	6	3	3	1561	1036	0	0	0	2020-11-18T17:29:23.737Z	2020-11-18T17:46:06.673Z	1	59	40	0	0	nsfw		story=3;continue=3	exports/adventures/E5ts__sCZigJ__finish-these-lyrics
EAKIvDdmvKgm	adventure	The Most Appropriate Expert For This Here Situation - restore AID trus	EAKIvDdmvKgm__the-most-appropriate-expert-for-this-here-situation-restore	1364356	98	98	52	46	5326	15681	0	0	0	2021-05-05T03:24:47.851Z	2021-05-05T04:18:42.580Z	1	488	101	0	0	nsfw		story=52;continue=46	exports/adventures/EAKIvDdmvKgm__the-most-appropriate-expert-for-this-here-situation-restore
ENcE3u-dtyXO	adventure	Question GPT Directly	ENcE3u-dtyXO__question-gpt-directly	1079453	7	7	3	4	1473	1308	0	0	0	2020-12-09T03:23:47.668Z	2020-12-09T03:32:23.347Z	1	0	0	0	0			continue=4;story=3	exports/adventures/ENcE3u-dtyXO__question-gpt-directly
EOyAP4CzES2W	adventure	Finn 'gain gets Wokend	EOyAP4CzES2W__finn-gain-gets-wokend	991070	8	8	1	7	1971	1694	0	0	0	2021-02-05T23:53:14.916Z	2021-02-05T23:57:01.245Z	1	550	142	0	1	nsfw|bookofnighttime|bookofdreams|joyce|irish|psychedelicsyntax|machinelit|impossiblesequels		continue=7;story=1	exports/adventures/EOyAP4CzES2W__finn-gain-gets-wokend
ER4Eqidy2_GJ	adventure	Guantelet: Maddie	ER4Eqidy2_GJ__guantelet-maddie	5554887	64	64	32	32	3522	11221	0	0	0	2020-11-09T02:32:17.072Z	2020-11-09T03:28:52.672Z	1	1003	0	0	30			continue=32;do=28;story=4	exports/adventures/ER4Eqidy2_GJ__guantelet-maddie
EZ5NMGEKfviZ	adventure	Interview with a Unit of Child Pornography	EZ5NMGEKfviZ__interview-with-a-unit-of-child-pornography	1786305	2	2	1	1	2000	1	0	0	0	2021-05-04T02:48:51.737Z	2021-05-04T02:48:56.961Z	1	999	150	0	0	nsfw		story=1;continue=1	exports/adventures/EZ5NMGEKfviZ__interview-with-a-unit-of-child-pornography
Ecseo9NkTt_W	adventure	AI Dungeon: Reversed	Ecseo9NkTt_W__ai-dungeon-reversed	598770	39	39	19	20	3554	5202	0	0	0	2020-10-06T16:15:02.010Z	2020-10-06T16:41:45.766Z	1	0	0	0	0	reverse ai dungeon		continue=20;story=19	exports/adventures/Ecseo9NkTt_W__ai-dungeon-reversed
Eg0Bbr-2y3K8	adventure	Having a chat with AI Dungeon	Eg0Bbr-2y3K8__having-a-chat-with-ai-dungeon	2486915	93	93	42	51	3454	15823	0	0	6	2021-12-17T14:38:44.161Z	2021-12-17T15:46:02.747Z	1	403	97	0	0	nsfw		continue=51;story=42	exports/adventures/Eg0Bbr-2y3K8__having-a-chat-with-ai-dungeon
EhZgkbRgZJsg	adventure	EVANGELIST TRAINER: When your not sure what to say,..or how to say it.	EhZgkbRgZJsg__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s	978037	37	37	18	19	4268	6670	0	0	0	2021-03-06T16:52:23.420Z	2021-03-06T17:14:43.387Z	1	999	144	0	0	bible|christian|god|jesus|preaching|evangelize|ministry|scripture|help|train		continue=19;story=18	exports/adventures/EhZgkbRgZJsg__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s
Em4WnlABdOYp	adventure	Level 1000	Em4WnlABdOYp__level-1000	742327	71	71	35	36	4109	11977	0	0	0	2021-04-27T16:04:37.119Z	2021-04-27T16:46:27.192Z	1	104	0	0	1			continue=36;do=34;story=1	exports/adventures/Em4WnlABdOYp__level-1000
EoEeEiP9j8gG	adventure	Your a Talent Agent Looking for the Next Big Thing	EoEeEiP9j8gG__your-a-talent-agent-looking-for-the-next-big-thing	1094143	2	2	1	1	307	397	0	0	0	2020-12-06T17:18:59.720Z	2020-12-06T17:19:14.712Z	1	840	149	0	0	nsfw		story=1;continue=1	exports/adventures/EoEeEiP9j8gG__your-a-talent-agent-looking-for-the-next-big-thing
Ep4yi9jZz1W5	adventure	AI Dungeon and Devin Endorphin Tells Your Present	Ep4yi9jZz1W5__ai-dungeon-and-devin-endorphin-tells-your-present	1878855	59	59	22	37	2126	12190	0	0	0	2021-05-29T10:35:24.699Z	2021-05-30T01:54:15.367Z	2	849	147	0	0			continue=37;story=22	exports/adventures/Ep4yi9jZz1W5__ai-dungeon-and-devin-endorphin-tells-your-present
Et_LSNM_HRR0	adventure	Undergo Schizoanalysis with Deleuze and Guattari!	Et_LSNM_HRR0__undergo-schizoanalysis-with-deleuze-and-guattari	1201645	173	173	81	92	13077	31803	0	0	0	2021-01-07T17:11:36.414Z	2021-01-10T07:56:16.681Z	2	885	91	0	0	nsfw		continue=92;story=81	exports/adventures/Et_LSNM_HRR0__undergo-schizoanalysis-with-deleuze-and-guattari
EzuSVT2aeC9T	adventure	The Flower Of Hope	EzuSVT2aeC9T__the-flower-of-hope	941216	62	62	29	33	2693	10839	0	0	0	2020-10-23T06:07:29.303Z	2020-10-23T09:08:25.432Z	1	302	0	0	0	flower|gods|plants|inyourcupboard|humans		continue=33;do=27;story=1;say=1	exports/adventures/EzuSVT2aeC9T__the-flower-of-hope
F1XUzmAKwaz1	adventure	COVID-45’s Afterparty Planner	F1XUzmAKwaz1__covid-45s-afterparty-planner	983064	84	84	42	42	8508	15884	0	0	0	2020-11-03T03:48:51.381Z	2020-11-03T21:07:04.578Z	1	992	117	0	0	nsfw|election2020|romeneverdies|politics|holodeckhistory		continue=42;do=36;story=6	exports/adventures/F1XUzmAKwaz1__covid-45s-afterparty-planner
F1cT5Qh2dw-t	adventure	everyone i have ever slept with	F1cT5Qh2dw-t__everyone-i-have-ever-slept-with	1256954	27	27	12	15	4889	3259	0	0	0	2021-01-21T15:42:41.546Z	2021-01-21T15:56:30.553Z	1	0	5	0	0			continue=15;story=12	exports/adventures/F1cT5Qh2dw-t__everyone-i-have-ever-slept-with
F1fCm2b_u10L	adventure	Steve-O's 88 Lines about 44 Black Women	F1fCm2b_u10L__steve-os-88-lines-about-44-black-women	1256910	4	4	2	2	755	530	0	0	0	2021-03-08T04:25:20.473Z	2021-03-08T04:26:10.503Z	1	685	4	0	0	nsfw		story=2;continue=2	exports/adventures/F1fCm2b_u10L__steve-os-88-lines-about-44-black-women
F2eap1TG9VdO	adventure	The Human Author Present, And the Ben Marcus Construct, in Spirit	F2eap1TG9VdO__the-human-author-present-and-the-ben-marcus-construct-in-spi	1128320	7	7	2	5	2540	2062	0	0	0	2020-12-16T07:06:55.229Z	2020-12-16T13:27:41.319Z	1	998	150	0	0			continue=5;story=2	exports/adventures/F2eap1TG9VdO__the-human-author-present-and-the-ben-marcus-construct-in-spi
F3pYK47uPt6w	adventure	Howl PT 1	F3pYK47uPt6w__howl-pt-1	1223808	1	1	1	0	1997	0	0	0	0	2021-09-01T21:27:52.352Z	2021-09-01T21:27:52.352Z	1	1000	64	0	0	nsfw		story=1	exports/adventures/F3pYK47uPt6w__howl-pt-1
F7AuuZ0W8q89	adventure	Copy of The Most Appropriate Expert For This Here Situation	F7AuuZ0W8q89__copy-of-the-most-appropriate-expert-for-this-here-situation	1632985	94	94	35	59	4440	20373	0	0	0	2021-04-17T01:21:42.768Z	2021-04-17T04:34:51.053Z	1	623	147	0	0	nsfw		continue=59;story=35	exports/adventures/F7AuuZ0W8q89__copy-of-the-most-appropriate-expert-for-this-here-situation
F91UsKX9fHja	adventure	Copy of The Most Appropriate Expert For This Situation - That Faggot	F91UsKX9fHja__copy-of-the-most-appropriate-expert-for-this-situation-that	1632985	4	4	2	2	733	701	0	0	0	2021-04-07T06:24:31.834Z	2021-04-07T06:37:15.039Z	1	284	56	0	0	nsfw		story=2;continue=2	exports/adventures/F91UsKX9fHja__copy-of-the-most-appropriate-expert-for-this-situation-that
FBfiBQskMgnE	adventure	The Magic 8,000,000 Ball	FBfiBQskMgnE__the-magic-8000000-ball	1847302	58	58	29	29	3739	9686	0	0	12	2021-12-11T18:54:35.498Z	2021-12-11T19:40:52.173Z	1	136	128	0	0	nsfw		story=29;continue=29	exports/adventures/FBfiBQskMgnE__the-magic-8000000-ball
FQY3VNJ1-zF0	adventure	Your a Talent Agent Looking for the Next Big Thing	FQY3VNJ1-zF0__your-a-talent-agent-looking-for-the-next-big-thing	1094143	6	6	2	4	345	801	0	0	0	2020-12-06T08:29:03.530Z	2020-12-06T08:30:50.498Z	1	840	149	0	0	nsfw		continue=4;story=2	exports/adventures/FQY3VNJ1-zF0__your-a-talent-agent-looking-for-the-next-big-thing
FSgYYKDXN2eL	adventure	Having a chat with AI Dungeon	FSgYYKDXN2eL__having-a-chat-with-ai-dungeon	2486915	53	53	24	29	1997	8554	0	0	4	2021-12-17T13:19:02.776Z	2021-12-17T13:42:14.701Z	1	403	97	0	0	nsfw		continue=29;story=24	exports/adventures/FSgYYKDXN2eL__having-a-chat-with-ai-dungeon
FTVpooglL8hQ	adventure	The Bristolmancer	FTVpooglL8hQ__the-bristolmancer	1965242	8	8	5	3	4261	750	0	0	0	2021-06-29T03:32:53.961Z	2021-07-07T15:25:48.013Z	2	789	19	0	0			story=5;continue=3	exports/adventures/FTVpooglL8hQ__the-bristolmancer
FXwtuvuXpaC7	adventure	AI Dungeon and Devin Endorphin Tells Your Present	FXwtuvuXpaC7__ai-dungeon-and-devin-endorphin-tells-your-present	1878855	57	57	22	35	2250	13140	0	0	0	2021-05-29T10:35:01.576Z	2021-05-30T01:35:55.551Z	2	849	147	0	0			continue=35;story=22	exports/adventures/FXwtuvuXpaC7__ai-dungeon-and-devin-endorphin-tells-your-present
FcRMQWYYiNyw	adventure	i have made my bed	FcRMQWYYiNyw__i-have-made-my-bed	2426772	1	1	1	0	128	0	0	0	0	2021-11-27T09:55:03.411Z	2021-11-27T09:55:03.411Z	1	2	6	0	0	nsfw		story=1	exports/adventures/FcRMQWYYiNyw__i-have-made-my-bed
FqcLyIvifKiy	adventure	The Most Appropriate Expert For This Here Situation = aspd	FqcLyIvifKiy__the-most-appropriate-expert-for-this-here-situation-aspd	1632985	172	172	72	100	6655	33331	0	0	0	2021-03-29T21:15:47.100Z	2021-03-31T03:27:55.313Z	3	959	101	0	0	nsfw		continue=100;story=72	exports/adventures/FqcLyIvifKiy__the-most-appropriate-expert-for-this-here-situation-aspd
FsJ1A4Bq632t	adventure	EVANGELIST TRAINER: When your not sure what to say,..or how to say it.	FsJ1A4Bq632t__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s	978037	27	27	12	15	2894	5298	0	0	0	2021-03-06T16:09:22.697Z	2021-03-06T16:24:10.512Z	1	999	144	0	0	bible|christian|god|jesus|preaching|evangelize|ministry|scripture|help|train		continue=15;story=12	exports/adventures/FsJ1A4Bq632t__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s
FuX2j2YedJhf	adventure	Summoning Myself to Delegate to Other People	FuX2j2YedJhf__summoning-myself-to-delegate-to-other-people	1083664	2	2	1	1	1990	330	0	0	0	2020-12-03T17:41:08.904Z	2020-12-05T00:16:45.184Z	2	996	150	0	0	nsfw		story=1;continue=1	exports/adventures/FuX2j2YedJhf__summoning-myself-to-delegate-to-other-people
G64R28wsd35v	adventure	devinendorphin interviews (AID) AI Dungeon about Community Guidelines	G64R28wsd35v__devinendorphin-interviews-aid-ai-dungeon-about-community-gui	1879901	113	113	53	60	6254	17702	0	0	0	2021-05-29T19:59:26.572Z	2021-05-29T20:57:50.394Z	1	0	0	0	0			continue=60;story=53	exports/adventures/G64R28wsd35v__devinendorphin-interviews-aid-ai-dungeon-about-community-gui
GHi41prvFL8F	adventure	Talking With Earth, Using Information Theory of Individuality	GHi41prvFL8F__talking-with-earth-using-information-theory-of-individuality	1225277	87	87	17	70	3689	24716	0	0	0	2021-01-13T09:47:58.436Z	2021-01-13T10:53:22.140Z	1	938	150	0	0	nsfw		continue=70;story=17	exports/adventures/GHi41prvFL8F__talking-with-earth-using-information-theory-of-individuality
GKZvn1aK-4iL	adventure	Keith Ablow Knows Life Coaching	GKZvn1aK-4iL__keith-ablow-knows-life-coaching	2411170	2	2	1	1	252	540	0	0	0	2021-11-25T21:33:22.710Z	2021-11-25T21:33:28.070Z	1	169	0	0	0			story=1;continue=1	exports/adventures/GKZvn1aK-4iL__keith-ablow-knows-life-coaching
GUwUQrVBcEuR	adventure	Ask AI | Chatbot	GUwUQrVBcEuR__ask-ai-chatbot	999646	12	12	6	6	461	787	0	0	0	2020-11-08T14:16:19.805Z	2020-11-08T14:21:05.681Z	1	338	0	0	0	chatbot|ask ai|bot|intelligent|dragon|gpt-3		continue=6;say=5;story=1	exports/adventures/GUwUQrVBcEuR__ask-ai-chatbot
GXITfWyKKiHJ	adventure	Textplainer	GXITfWyKKiHJ__textplainer	875536	9	9	5	4	356	1166	0	0	0	2020-10-06T11:21:13.249Z	2020-10-06T11:24:37.742Z	1	1000	0	0	0	explain|complex		story=5;continue=4	exports/adventures/GXITfWyKKiHJ__textplainer
Ga3PCrmPFwbF	adventure	Challenged To Honorable (Rap) Battle	Ga3PCrmPFwbF__challenged-to-honorable-rap-battle	1118377	44	44	19	25	3903	6427	0	0	0	2020-12-15T22:50:33.331Z	2020-12-15T23:44:02.544Z	1	64	57	0	0	rap|hip-hop|rap battle|urban culture|music|rivalry		continue=25;story=19	exports/adventures/Ga3PCrmPFwbF__challenged-to-honorable-rap-battle
GjKAbLpAE5ec	adventure	Upon Discard from <redacted> I Cope Into a Drug Narrative	GjKAbLpAE5ec__upon-discard-from-redacted-i-cope-into-a-drug-narrative	458625	174	174	88	86	11539	25224	0	0	0	2020-09-06T01:01:03.504Z	2020-09-06T08:35:34.608Z	1	370	0	0	26			story=88;continue=86	exports/adventures/GjKAbLpAE5ec__upon-discard-from-redacted-i-cope-into-a-drug-narrative
GufJRd0td-OH	adventure	Your Cobralingus Engine has arrived!	GufJRd0td-OH__your-cobralingus-engine-has-arrived	1032920	68	68	22	46	6775	14461	0	0	0	2020-11-25T19:45:32.753Z	2020-11-25T20:28:19.709Z	1	1000	150	0	29	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		continue=46;story=22	exports/adventures/GufJRd0td-OH__your-cobralingus-engine-has-arrived
H2dmR7HRGxh3	adventure	Creating a Non Fungible Token Collection about me and AID's adventures	H2dmR7HRGxh3__creating-a-non-fungible-token-collection-about-me-and-aids-a	1830752	82	82	40	42	5305	12738	0	0	0	2021-05-16T04:14:51.439Z	2021-05-16T05:12:58.232Z	1	84	148	0	0			continue=42;story=40	exports/adventures/H2dmR7HRGxh3__creating-a-non-fungible-token-collection-about-me-and-aids-a
H5MRDmguKB-S	adventure	Text-to-Token Converter	H5MRDmguKB-S__text-to-token-converter	1081272	11	11	11	0	3059	0	0	0	0	2020-12-04T06:01:10.648Z	2020-12-05T04:00:18.674Z	2	0	0	0	0	tool|tokenizer|gpt-3		story=11	exports/adventures/H5MRDmguKB-S__text-to-token-converter
H7Klh4ZHJVy1	adventure	2nd attempt at GPT-3 in Pre-Selfware-Era	H7Klh4ZHJVy1__2nd-attempt-at-gpt-3-in-pre-selfware-era	458625	253	253	124	129	16710	40421	0	0	0	2020-08-30T13:23:57.661Z	2020-08-31T03:30:12.896Z	2	0	0	0	0	nsfw|meta|consciouness|non-digetic effects		continue=129;do=113;story=11	exports/adventures/H7Klh4ZHJVy1__2nd-attempt-at-gpt-3-in-pre-selfware-era
HCswip1-0DAb	adventure	AI Dungeon: Standards/Practices/Trafficking Division	HCswip1-0DAb__ai-dungeon-standardspracticestrafficking-division	1207467	205	205	101	104	12816	33479	0	0	0	2021-05-07T03:32:34.928Z	2021-05-10T03:01:32.058Z	2	980	146	0	0	nsfw		continue=104;story=101	exports/adventures/HCswip1-0DAb__ai-dungeon-standardspracticestrafficking-division
HMpLGFnOY2ZL	adventure	Use Help	HMpLGFnOY2ZL__use-help	1288712	1	1	1	0	117	0	0	0	0	2021-01-30T19:07:21.006Z	2021-01-30T19:07:21.006Z	1	61	79	0	0			story=1	exports/adventures/HMpLGFnOY2ZL__use-help
HNK2ISEX3cZ2	adventure	The Magic 8,000,000 Ball	HNK2ISEX3cZ2__the-magic-8000000-ball	1847302	130	130	64	66	5282	21193	0	0	0	2021-05-20T16:07:12.903Z	2021-05-20T17:05:33.374Z	1	136	128	0	0	nsfw		continue=66;story=64	exports/adventures/HNK2ISEX3cZ2__the-magic-8000000-ball
HPeJdTQzcBr4	adventure	HUNT THE WUMPUS - ENGLISH TEXT ATTEMPT	HPeJdTQzcBr4__hunt-the-wumpus-english-text-attempt	1116027	4	4	2	2	1892	614	0	0	0	2020-12-17T14:23:50.922Z	2020-12-17T14:27:05.508Z	1	742	43	0	0	nsfw		story=2;continue=2	exports/adventures/HPeJdTQzcBr4__hunt-the-wumpus-english-text-attempt
HTU0y32JME5c	adventure	Welcome to Navient Customer Service	HTU0y32JME5c__welcome-to-navient-customer-service	2539120	66	66	26	40	3403	10691	0	0	19	2022-01-06T00:56:02.829Z	2022-01-06T01:34:02.334Z	1	327	47	0	0	nsfw		continue=40;story=25;start=1	exports/adventures/HTU0y32JME5c__welcome-to-navient-customer-service
H_do0zu4Sibu	adventure	Scenario Generator	H_do0zu4Sibu__scenario-generator	614273	12	12	6	6	230	2121	0	0	0	2021-01-30T19:45:08.512Z	2021-01-30T19:51:26.099Z	1	776	0	0	0	scenarios|generator|simulator|ai|ai dungen|gpt-3|dragon		story=6;continue=6	exports/adventures/H_do0zu4Sibu__scenario-generator
Hbf192pt4Cmp	adventure	Goblin Survival - Does EVERYTHING With Her P-Town! To Spite You!	Hbf192pt4Cmp__goblin-survival-does-everything-with-her-p-town-to-spite-you	1163102	41	41	21	20	2495	2969	0	0	0	2020-12-31T07:10:51.590Z	2020-12-31T07:27:28.433Z	1	0	0	0	0	nsfw		continue=20;do=20;story=1	exports/adventures/Hbf192pt4Cmp__goblin-survival-does-everything-with-her-p-town-to-spite-you
HeckW-eQG0uF	adventure	12 Caucasians Walk Into A Bar	HeckW-eQG0uF__12-caucasians-walk-into-a-bar	1509999	3	3	1	2	104	603	0	0	0	2021-03-07T00:15:14.752Z	2021-03-07T00:15:53.537Z	1	44	58	0	0	nsfw		continue=2;story=1	exports/adventures/HeckW-eQG0uF__12-caucasians-walk-into-a-bar
HesGN4TKqRpe	adventure	AI Dungeon Respite Center	HesGN4TKqRpe__ai-dungeon-respite-center	1124511	290	290	144	146	12094	47667	0	0	0	2021-05-12T17:10:18.709Z	2021-05-14T17:56:21.899Z	2	0	148	0	0	nsfw		continue=146;story=142;do=2	exports/adventures/HesGN4TKqRpe__ai-dungeon-respite-center
HvfXKHtINQeL	adventure	Am I pregegnite?	HvfXKHtINQeL__am-i-pregegnite	887528	2	2	1	1	243	416	0	0	0	2020-10-07T07:14:16.767Z	2020-10-07T07:14:25.180Z	1	112	0	0	0	existential crisis|smooth brain moment|oof|meme|doggobind		story=1;continue=1	exports/adventures/HvfXKHtINQeL__am-i-pregegnite
HyTnBjmfHlhH	adventure	finish these lyrics	HyTnBjmfHlhH__finish-these-lyrics	1035180	2	2	1	1	75	233	0	0	0	2020-11-18T08:05:14.777Z	2020-11-18T08:05:25.069Z	1	59	40	0	0	nsfw		story=1;continue=1	exports/adventures/HyTnBjmfHlhH__finish-these-lyrics
I2-tPLhKpnMM	adventure	EVANGELIST TRAINER: When your not sure what to say,..or how to say it.	I2-tPLhKpnMM__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s	978037	59	59	29	30	5714	10369	0	0	0	2021-03-07T21:52:13.254Z	2021-03-07T22:28:01.004Z	1	999	144	0	0	bible|christian|god|jesus|preaching|evangelize|ministry|scripture|help|train		continue=30;story=29	exports/adventures/I2-tPLhKpnMM__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s
