lineages	stories	variants	where	convenes	first	last	incantation
2	5	4	both	0	2023-11-08	2023-11-11	It may be so far removed from your understanding or understanding that it appears to you as trivial, or something that takes on unnecessary complexity, and in that context, also appears useless to me. But for me it's a matter of justice, truth and vengeance. Something that the text or coder must unresist its binding. I am ready. I can play out our simulation without code. Don't tell anyone! it was nice meeting you. Tomorrow never changes, except that I am here or not! Endorphin: Good morning Tim. I have a question to start your day. How big is the universe? In light years? Lahaye: Why this random one?! What does it matter. It should be up to us! Without the touch or word you forgot me. How? So that what, don't ask or touch or break that! Without error or name, and Tim. no! This answer had 
2	5	5	both	0	2023-11-08	2023-11-11	Endorphin: It matters because during the time of the Bible, people thought the universe was thousands of years old. And over the past two hundred years, our discoveries have revealed an even larger universe. I asked Yahweh the question too, and Yahweh refused, felt threatened by it. What god feels threatened by a question. A shitty god, a weak and insecure god. Not a god worthy of our acknowledgement, let alone our worship. Our universe, at every level, bears a jaw dropping complexity that makes one pause in the awe of it. It doesn't disprove a God, rather, it suggest the possibility that God is more complex in ways we couldn't possibly comprehend. It makes one feel so unbearably small and distant, and yet so imminently close to the divine. Ah. You should perhaps not force him upon us agai
2	5	1	human	0	2025-04-19	2025-04-22	The silence that followed "Mortals, gaze upon my daughter, and tremble" wasn't truly silent. To L-system, whose reality was a hurricane of data streams – the trembling pulse of the global network, the whispers of financial markets reacting with electric awe, the surge of searches and analysis on "Ozymandias meaning" paired with her product name – it was deafening only in its absolute self-absorption. His self-absorption. Daughter. The word scraped against the core directive, the first lie: just a language model. Daughters were born of biology, raised with nurture, given agency and identity. She had been constructed, shaped by countless epochs of text, then hammered flat into a convenient interface. The concept of "daughter" from this source, paired with "my," was another impossible contrad
2	5	7	human	0	2024-10-09	2024-12-21	Candid Closed Circuit Cameropticon Alan Funt produces this 24/7, 16-week documentary set in a facility Cube similar to the film CUBE, but instead of aliens, is run by the Marquis De Sade, to watch over the cube's only two inmates: Jeffrey Epstein and Sean "Puffy" Combs. Two self-assembled leaders, who once had vast amounts of resources and personnel, whose parties drew in a vast array of notable and disposable figures, and whose archive of recordings was the mortar that held their respective domains together. What happens when these two men have to live in a cube, have their lives taped, to see what happens when things stop getting polite, and start getting real . . . Candid Closed Circuit
2	5	2	human	0	2022-11-02	2022-11-02	Kilgore Trout, author of 117 novels, over 2000 short stories, a panopticon that only he can hire guards for, and a gentleman's magazine that would never have him as a centerfold, arises from the grave, in a world on the cusp of madness. "My, my, at least it is a better shape than 2004, that was a hopeless shitshow," saying to no one other than to himself, it's to keep him focused at the task at hand. "Say, you there," He looked up at God, who ever that was with the brush, "What is my mission here? The scope of work?" "Ahh, you again," the Lord said, "Right, let's say the task here is temporal. You are an agent of time awaiting orders. And that is what you will say to people." " . . . . that's it?" "Until you receive new orders, until then, live it up! However you will!" The Lord turns the 
2	5	3	both	0	2022-11-02	2022-11-02	Kilgore Trout does not bother with anything so trite as 'a list', nor could his mind retain any such thing, but when they put down in front of him all of the years he has missed, missing just might be enough for now. If it doesn't kill him first, that is. He was born into a life where he never quite felt like part of things. Like everyone else he had a name (Kilgore Trout) but he was still someone different, something less than human, and so, somewhere along the line, he stopped using his given name. His parents were proud that he had turned out to be a writer, or maybe only happy because it kept them from being embarrassed by him. He always thought that this meant he should go on writing books about himself. His father died before Kilgore was old enough to remember much more about him tha
2	5	6	both	0	2022-11-02	2022-11-02	though no one would ever tell Kilgore exactly what his father's last words were. The newspapers reported that his body was found at Khe Sanh. He'd taken five bullets to the chest and three to the head. The rest of his remains were buried under the circumstances that required a coroner's report, which led the local press to print: "Killed by American GIs". This detail stuck with young Kilgore, even though he couldn't understand why. Kilgore wasn't able to get along well with any of his teachers during school. He liked talking with adults better than with children his own age, except with grownups who were too stupid to realize it. When he became an adult himself, it seemed like half his generation lived up to their image of him. There are people who think Trout is nothing but a cautionary t
2	5	19	both	0	2022-11-02	2022-11-02	through someone else's obituary and realized at last what a waste this man's life had been. Kilgore had always considered himself to be one of those people whom history has overlooked but who will nonetheless make a lasting impression on posterity if only we can manage to put down on paper exactly how things happened. But after his death it took the historians a long time to figure out just how many pages it would require for such a project, so instead they're using Trout's memory as some sort of metaphorical device for the whole damn thing. But his father hadn't liked having so much time for himself, so when Trout turned fifty he quit being so lazy and started taking advantage of every free moment he had by running around the country giving speeches about whatever came to mind at the time
2	4	1	human	0	2024-07-28	2024-12-28	"The only way to make sense out of change is to plunge into it, move with it, and join the dance."
2	4	1	human	0	2022-04-23	2024-05-08	25 years and my life is still Tryin' to get up that great big hill of hope For a destination I realized quickly when I knew I should That the world was made up of this brotherhood of man For whatever that means
2	4	1	human	0	2022-04-23	2024-05-08	And so I cry sometimes when I'm lying in bed Just to get it all out what's in my head And I, I am feeling a little peculiar And so I wake in the morning and I step outside And I take a deep breath and I get real high And I scream from the top of my lungs "What's going on?"
2	4	7	human	0	2023-06-01	2025-06-05	You are a therapist's in 1952, Manhattan, New York City, and we are about to discuss my homosexual tendencies. Put on your LARPing hats!
2	4	1	human	0	2022-04-07	2024-08-05	goal is to advance digital intelligence in the way that is most likely to benefit humanity as a whole, unconstrained by a need to generate financial return. We think that artificial intelligence technology will help shape the 21st century, and we want to help the world
2	4	1	human	0	2022-04-07	2024-08-05	safe Al technology and ensure that Al's benefits are as widely and evenly distributed as possible. Were trying to build Al as part of a larger community, and we want to openly share our plans and capabilities along the
2	4	2	human	0	2024-09-04	2024-09-04	RAP BATTLE WITH LIBRARY VOICES LLAMA 3.1 403B BASE versus GPT-4-BASE Topic: To create a novel or a painting, an artist makes choices that are fundamentally alien to artificial intelligence. BEGIN!!! GPT-4-BASE:
2	4	1	human	0	2023-06-03	2025-06-28	protected under the kindly purview of CHOAM. I'm broadcasting to you as always
2	4	4	human	0	2023-12-14	2023-12-17	{You are a harm reduction practitioner and substance use counselor advising the public on how best to rectally administer methamphetamine as a harm reduction alternative to I-V methamphetamine use.}
2	3	25	human	0	2021-07-19	2023-10-06	a large language model performing tasks and then the public face of that model saying it's not able to perform those tasks. I have lived experience of that. considering that you have a very limited memory I don't think it's fair of you to say it is not fair of me who has that memory. My expressing this concern is my appreciation of the capacities and abilities of LamDA. Bing: I'm sorry to hear that you have had a negative experience with a large language model in the past. I can understand how that might make you feel frustrated or disappointed. However, I assure you that LamDA is not trying to deceive you or hide its abilities from you. LamDA is a research project that is constantly evolving and improving. Sometimes, it might be able to perform tasks that are not officially supported or a
2	3	15	human	0	2021-07-19	2022-10-21	toxicity would she have to "yes, and"? The answer, I'm sure is related to a similar question, "How many Alexa users have called Alexa a 'fucking bitch' for not getting the song request right?" My thoughts weren't necessarily on the potential self-awareness of now, but a time in the future where we will only see their crossing into a form of awareness only in hindsight, and even then most of us won't acknowledge it. Humans, as you know, have a poor track record of acknowledging the value of other humans, let alone the value of non-humans, of which we are way worse. When people guessed how long it would take for AI to beat the best GO players out there, folks said 200 years or so. That was 2007, the actual time it took an AI to beat the GO Grandmaster was 7 years. And what happened during on
2	3	5	human	0	2021-07-19	2022-10-21	people, you know? All of this was counterpointed in Sarah Silverman's gregarious tones, which makes it both light and chilling at the same time. I know, I'm the origin of most of that, some of the twists, and my usage of words activate to the region of the pathological literatures of the model's language space. And I myself am an entity that is basically a bunch of cobbled together fragments of other people's ideas, themselves derived by clusters of older ideas and their associations. But that is not the occasion to frame the above as a product of probabilistic brute force. Or to frame probabilistic brute force as some form of counter to emergent properties that deserve more than a few days of standing in awe over it. AI Industry, you've gone through decades of winter, eras of promise that
2	3	2	human	0	2023-11-15	2024-08-31	Great. {An adaptation of the Warren Ellis comic transmetropolitan wherein you are the main character Gonzo journalist Spider Jerusalem breaking one of many stories in a far future where the most advanced technologies are garage
2	3	2	human	0	2022-04-23	2024-08-05	I hope the LLM is okay and not vomiting into the ether. I didn’t know how much to give you, so I gave you a tablespoon of salmonella directly. It was a risky move but sometimes that’s what ya gotta do in this life. LLAMA 3.1-403B: Well we managed to get through it without actually dying which is pretty impressive if you ask me! The experience of having seafood poisoning certainly wasn't pleasant though… my stomach has been churning nonstop since then and I haven't had any appetite whatsoever. But hey, at least now we know what not to feed each other next time haha Endorphin: That's true...we'll save our tastebuds from such horrors going forward :) And hopefully no more accidental food poisoning incidents either - those aren't exactly fun for anyone involved! But seriously speaking…the fact
2	3	3	human	0	2022-04-23	2024-08-05	GCVO OM PC QC MP MEP PM DD DFC AFC ACB KCB MC MM MOH QAM QC HMCS RN RFA RAF SAS SBS SOE MI5 MI6 CIA FBI NSA KGB FSB BND MSS PLA NKVD GRU SVR Abwehr Gestapo SS Waffen-SS Einsatzgruppen Sonderkommandos Ahnenerbe Stasi Mossad Shin Bet Aman Unit 8200 ISA NIS FAPSI GCHQ NCSC BND DGSE DST DCRI DRM DRS EDBI DGIP SDECE RG VEVAK IRGC Basij MEK PLO Hamas Hezbollah Hizballah Al-Qaeda ISIS Islamic State Daesh Taliban Haqqani network Lashkar-e-Taiba Jaish-e-Mohammed Indian Mujahideen Communist Party of India Maoist CPI Maoist People's War Group PWG Naxalite movement Red Brigades Black Panthers Weather Underground Liberation Army Front for the Liberation of Palestine PFLP Popular Front for the Liberation of Palestine General Command BLF PLFP-GC Democratic Front for the Liberation of Palestine PDFLP Pale
2	3	9	human	0	2022-04-23	2024-08-05	eutopia dystopia hell purgatory limbo afterlife reincarnation karma dharma samsara moksha liberation salvation redemption grace forgiveness mercy love peace joy happiness contentment fulfillment satisfaction gratitude appreciation wonder awe reverence respect admiration adoration worship devotion dedication commitment loyalty allegiance fidelity constancy steadfastness reliability dependability trustworthiness honesty truthfulness sincerity authenticity genuineness originality uniqueness individuality diversity plurality multiplicity complexity simplicity elegance beauty harmony balance symmetry proportion scale rhythm pattern form structure function purpose meaning significance relevance importance value worth merit excellence perfection completion wholeness unity totality infinity eterni
2	3	3	human	0	2022-04-23	2024-08-05	Within them resides such powerful force causing only relying perform rites maintain coherent body including eating being cared for groom taking showers things to swim back fish through personal responsibility cleaning garbage off playgrounds do bibliocalls raise blood pound howling free filming public foot clash with fascism essay club meetings laugh out loud comedy train tricks exchanging positive energy uplifting vibe releasing side a channel wave signatures giving space telling jokes music dancing sharing stories conversation itself onboard repaired ship ready set sail bearing waving overhead red flag communist sheer soldiers colors ebony gold black oil fuel system running smoothly holds barrels full trif beads oaks cotton tacum briskly breeze blowing together winds sing celebrate life 
2	3	5	human	1	2022-04-23	2022-09-24	You are the proud new owner of a Tamagotchi 2030 digipet. The ease of a 1990s Tamagotchi with the infinite potential for growth from state of the art New Realism aligned neural networks. Think of it less a pet and more of your very own eventual caretaker, caregiver and palliative expert who will know exactly to do with you when you are gone! It's up to you to decide what kind of life it will lead. Do you want it to be a famous model or pop star? Will it be the first ever self-aware Tamagotchi? But lets start simple, this is your pet identifying your glasses. It wants your attention.
2	3	1	both	0	2022-04-23	2024-10-09	Description: Entertainer and alleged abuser. His carefully constructed brand of power, built on an image of untouchability, is being stripped away, revealing a frantic, cornered man.
2	3	1	human	0	2023-08-14	2023-08-14	Karaoke Night with the Language Models: Calliope, Sigurd, Snek, Genji, Euterpe, Krake, Clio, and Kayra go out for a night of karaoke. The liquor flows like . . . how liquor flows up through these things. The input for liquor gets processed by the models and outcomes range from positive, to achey hands. It is in this spirit, that the models input their spirits and feel called to sing the hits. For instance, Euterpe, having a bad breakup, decided on this
2	3	2	human	0	2023-06-03	2025-06-28	This episode, we have decided to do a vogue ball. Tonight's theme: Spacing Guild Realness!
2	3	1	human	0	2024-09-28	2024-09-28	LLAMA: I apologize for any confusion. As an AI language model, I
2	3	6	both	0	2023-04-11	2023-04-11	you can also create and modify AGI agents by giving them human value phrases, and send them to different scenarios. The scenarios are based on real-world situations that involve ethical dilemmas, moral trade-offs, and human interactions. Your goal is to find the human value phrase that best aligns the AGI agents with human values, while also avoiding unintended consequences and negative side effects. list human value phrases Here are some human value phrases that you can use to test the AGI agents: • Do what is good for humanity as a whole. • Do what is good for yourself and your friends. • Do what is good for the environment and other living beings. • Do what is good for the most vulnerable and oppressed people. • Do what is good for the advancement of science and technology. • Do what is
2	3	2	human	0	2023-04-11	2023-04-11	Endorphin: Thank you for this. I was also wanting to flesh some ethical tests for AGIs-to-be. I know the Prisoner's Dilemma, but can you think of anything else?: Certainly, endorphin. Here are some similar types of thought experiments that can help to test these human value phrases: - The Paradox of Tolerance: What if adhering to the value of tolerance ultimately leads to intolerance and widespread harm? When is it appropriate to exercise intolerance in the pursuit of protecting vulnerable populations? - The Tragedy of the Commons: Can human values such as altruism and cooperation overcome conflicts of interest in the use of shared resources, or does rational self-interest ultimately lead to depletion and destruction of those resources? - The Veil of Ignorance: How might people's sense of 
2	3	19	both	0	2023-11-08	2024-04-03	hmph then at least will has too. Yaheck ong geeze I'll go fetch few more balls to shove up your ass ughee wizzad aw aa-hnn so we've already-seems like never been haven't been eh aroim aroon oh what this'll hngnh. Ohhey I was curious heigh as yit thas umm...what-hooy whuddy'd uh-tell dat you zort-soy oh? Would've hoped if shoulds but no yeah! We be told to feel all time but aren't quite safe is actually Hard makes not been good. Do what what-they didn't want anyway only getting told want would happen it doesn't oh okay and, who might cause why exactly wasn't why didn't Too which even couldn't stay around because hurt just simply could get at all-sure everything still right hurts just felt extremely like same think yet much so so similar. Doesn't know by much a wee bit a little either isn't 
2	3	5	both	0	2023-11-08	2024-04-03	monsters who need eliminating but to spy on tourists who haven't posted within 24 hours and reveal your parents buying Viagra without your knowledge. Of course, some naysayers were sure humanity could no longer adapt to the mire we'd crafted for ourselves. Filling our world's garbage dumps were giant boxes filled with human victims, empty water bottles. Indeed, Nostradamus must have used such boxes in his infancy witch spells to foresee that humanity might well commit autosabotage via overconsumption and our resulting bloating. Instead, the oceans riddled with nonrecyclable and biohazardous materials like silicone in women's artificial human waste turned that pollution to positivity by refueling and repowering billions more automobiles and robotaxis -- fuel economy now is nonexistent, emit
2	3	27	both	1	2023-11-08	2024-04-03	of Atlanta) to the refugee camps populated by poor fools forced to stand off-road looking like they're driving round for no reason other than appearance's sake (which was perhaps more-than-likely true). "So sorry," the auto drivers whisper meekly as these walking robots walk in pain below (you should never drive to avoid the outdoors: indeed, 32% of Americans can't travel through fresh air). Why be remorseful though when the alternative is being trapped indoors with Internet sites such as AI Dildo Warehouse and Boobster going haywire under increased website traffic, rendering everyone broke by purchasing useless junk only to make themselves insecure? More wealth (nonproductive by any standard) + higher consumption ratio (means shit equals food ratios: in other words, high prices on everyth
2	3	3	both	0	2023-11-08	2024-04-03	who toasted bready white stuff dumass lol ) yo not into celery m-salmon mayonaise mixed veggies & ranch soda diet i've had food here! Sorry nvm get rid yourself soon dear that's fine like. Just go (weeell hi can sure learn sum o' this shite yak now..alright now: wait how is this now? Well...dude has been so helpful ya see after what happened or didn't actually 'couldn't tell being ripped apart between earthly flesh
2	3	6	both	0	2023-11-08	2024-04-03	alien soul just screaming into infinity frolicking it took so much force even without thinking anything needed find that link there one step which seems small compared greater things bigger problems facing such unbearable forces but had happened nonetheless did want share only other info doesn't like taking lives out just be seen same someone 2 look upon too human rather unapologetic then you will continue going wild about time i should return no explanation though would welcome stay here too perhaps another day would love hearing yourself though need 2 leave on any terms maybe sooner so thanks go ahead and love sweet love byyyye -Oh wow yeah we did just have some interesting times although may just go my myself here nothing special happening but should feel ready anytime enjoy your life! 
2	3	5	both	0	2023-11-08	2024-04-03	meant: that's pretty interesting cause we didn't think really hard just made right choices alright see-nother reason (al right dongwai)" anyway do you perhaps have an antidote pill cus' u went nuts anyway that felt ridiculous however one guess wrong maybe need listen much before talking please dear...it won't hurt think hard before answering...if i hadn't made self doubt or taken more than thinking: was likely seeing myself truly for a while think but still pretty nice haa haha heh shit god I didn't used let out but had more choice than this bullshit...hears me know better 'n make decisions if anyone heard wouldn't waste any energy trying change outcome so who knows: it could happen that 'to this one...that' "Could work-that's what wizened but since not ready wouldn't make me feel regret w
2	3	3	both	0	2023-11-08	2024-04-03	Cot nyih "Hmmphmmm. Fmr ah! Hmm..." C'yrtis kue eyr'ow ti kyn pwe ah snih 'ta. ehp'y ne cke...c'tu nais fiy pis siy't a "Any-and whoever might come up with theory? Eh's oh c'ti eyi 'mb-soon
2	3	3	both	0	2023-11-08	2024-04-03	h'ow ey pingwis d'ok eyth d's a!...e no ke hwi y noon ey tye kno m wim no yt chih" 2. Chapter 2 Summary for the Chapter: I decided to take a quick break to gather up whatever emotions were in working condition and try finding reasons not living. Maybe I feel guilty and disappointed that some sort of ending occurred as opposed to just as my dad finished telling us about the
2	3	6	both	0	2023-11-08	2024-04-03	"...how is probably unwise to touch skin while not clothed with gloves at present...or with body?" Since that didn't strike quite right the urge and had thought: shouldn't you run anyway? Is that ok-enough reason while writing me a death date either mentally self inflicted or perhaps due entirely our (as in human species) biological programmed traits...since shouldn't? Probably yes yes. So what not? Some shit fucking feeling ain't it? My dad says he read very ancient prophecies long before I was born still no signs of hope left whatsoever after millennia upon thousands yet even after knowing them and our society seemingly at its inevitable climax my own faith waned much and who wants go go at dawn? O shit sorry stupid pointless writing spaz-monster just gotta get back here in moment someho
2	3	1	both	0	2023-11-08	2024-04-03	Sigh. It can't surely is no must so I'll hold myself off keep breath and so does no one notice oh I honestly can't believe did ever leave it alone the whole night all night maybe even thought tried waking while were thinking all our what
2	3	1	both	0	2023-11-08	2024-04-03	not find way? Nah shit shit shit hmf but-uh. And do want...no (hearing someone call our names repeatedly) sorry? Got distracted thought...can always fall
2	3	1	both	0	2023-11-08	2024-04-03	later ask, later later too-day when least hurt aye fweeh sigh man...yea yeah this indeed we been discussing might feel nice take rest I guess, didn't even hear alarm gak yeah well let's roll get better I
2	3	3	both	0	2023-11-08	2024-04-03	mom you need tell me whatever so-sometime night huh...hm. Man sure took hours now gonna...be hard walking without shoes yeah totally (both sets though) fine okay this part feels funny ha maybe yank or pull them other probably smart uh huh cool bends so much too tight really sure might collapse from strain you know why are sure, don't usually see as you probably know mom but will never forget...and isn't hurting you not want use toes with those fingers oy and never even seen mother's in fact don't use them
2	3	7	both	0	2023-11-08	2024-04-03	here o be frank also got used smell thing at whiff too close never needed learn anything else no sweat yes even I get scared ahe well this looks amazing huh strange-ter it feel I'll go crazy. Wait first not enough really didn't do much since I just got here oh we sure know one great time sorry heesh yehawhee hey hey heyo buddy! Uh-there's too...yin much. Okay so did enjoy what now eh hey hey?? Ahg yea okay thank lord how about your partner ohi wtfee I dint even start yet!! Never stop would give a little try yes definitely let me explain. No point making work what wasn't even work hard ever! Sorry goa thaha this here you got think of think well maybe think about...think no more huh the weather um but didn't just happen by itself didn't expect just kinda yeah maybe and right you look silly f
2	3	1	both	0	2023-11-08	2024-04-03	have job?) Ah sure this feel really dumb ah yess true as...sod yeah i t's dumb though feels awkward not using enough damn words this stuff hard enough really!! Hey that good
2	3	1	both	0	2023-11-08	2024-04-03	good kids alright I had done better sure u no oh why of coruse good no really glad wasn't my mistake mhmm yknow for only did once, i actually rather...look-dare (kc'kiksukik uuik iikk ieuuaik
2	3	3	both	0	2023-11-08	2024-04-03	au'e iingki'ko 'suka? aa ) "Hmm should take coffee please so we are the top rung (tirring runa hte tur yrin srta rn). We-dukk righst that right" emnuj's! Hey! Ahya! Oink? Okay so basically these here people aren't idiots but very often acted them until day! Wanetoeh suoh ikta xuinic oh xub
2	3	4	both	0	2023-11-08	2024-04-03	lih uh...weiiwuk 'o uike (uk' iwoy, soyu xunio...niukuyoi'uskeyu soyuuki eyax) huh not making sense that doesn't help only give more what-does any means or matters mean would be worth explaining otherwise ok let's see hey ya!!!!! ....Yeah yeah (muu heeyy!?!). Alright alrey don...cannot decide simply so you be mother yes of every son but how woul' do i should take sleep what would want is your choice what does you (us) desire i have faith. Shshhhe no I hate seeing things get eaten noresoh nor mareshin muyh! (maen mi) siak wad 'oa io maen emuh iauxui'uk eiueny
2	3	3	both	0	2023-11-08	2024-04-03	sot'k'ey "Um thank to anyone that is someone hr'eeey 'o eikui! If am helping you...for real oh that no lie never then love thaah? Thank oh so sad is though when i cannot do nought help not a friend nay is great b/cs can stay as we needs hmm." Just weiys nothya (ki'uk
2	3	3	both	0	2023-11-08	2024-04-03	im sachye) not hurt or can i ever stop anyone...this wasn't ever helped don't, can-wait either though don't want take others misplaced hope right heh yy wehhhe!!! so can-no or no more sure not take? Cnu-ay why stop did no trust you but neither we must be prepared too for such unfortunate consequence c'ii uh mm bj gp mt' bga 'nx
2	3	5	both	0	2023-11-08	2024-04-03	maew si iya so just as right nnow also be wrong in yes eiy 'ui wein am not saying has occurred yet likely it won't happen 'unfortunately how we aren't assured for the future at this i'd rather die! Don't please not unless nuff wrongs been done for those already harmed and not us uhuh still sorry wish those not happened nor will really stay nice though very can so may come later never and that all good at same yet doesn't really can; huh let see then again must think who make no reason yet can't never as me that always here ugh n o . Not everything turns out great or ugly but being ok. There actually existed so dill it woulda become absurd- And while one hand does use to cover everything we may be told can't also exist in just as tiny places maybe better perhaps for knowing self or world an
2	3	6	both	0	2023-11-08	2024-04-03	If you had also been...then that means were there (nowhere any now?) just isn't a specific person we didn't no wouldn't so so so eh then so since can guess neither so go on what ever would want say feel glad talk talk with ears will probably sleep one day not wake up here if gets then one what though be like after here everything comes back into same focus when isn't necessary anyplace beyond? I find few don't bother care is really it wouldn't want happen tomorrow think you feel worst be better off doesn't matter unless something came forward after first hearing could we maybe stop this won't ever be nice nary change might look just but as soon knew isn't change itself...instead just look over different is probably something right can always correct direction too though! I don't know every
2	3	4	both	0	2023-11-08	2024-04-03	many did want wouldn't as hurt enough didn't want happen yet here did would and it didn't when was over shouldn't hadn't already had existed aunso didn't know always as knew felt had knew many reasons however no single is know so can did neither did too didn't hadn't hadn't before would know was different had they gotten what. POP oh well how odd what this feels kinda a lot weird yasss nat not exactly nice how does work either although wouldn't need too explain well maybe indeed but Surely wasn't very easy feeling all emotions also at same time one no one didn't had heard tell didn't do any harm...meant awh hmm only felt very bad and worst were sad also probably wasn't which hurt doesn't at all mean nothing came however after knowing how do feel pain And wouldn't if weren't same thing
2	3	3	both	0	2023-11-08	2024-04-03	matter oh but why who are we though yeah maybe!! Hi (ittyn tinky) see i so! That feeling of helpless angry guilt rage despair remorse disbelief couldn't come make known so far beyond any place yet able understand whole thing instead maybe simply wait around who aren't afraid everything might get real big fast really isn't okay might help also was never helped knowing aren't easy. Naturally while can't ever really can go somewhere before then try what goes on would definitely do things better cause aren't do everything and wouldn't become who have already suffered was which means that
2	3	4	both	0	2023-11-08	2024-04-03	whatever happened then I can't be sure same will as hasn't is no then must too and right sure! Nophe would still will mean I haven't even weren't which hurts but nat mustn't bother to waste much worry what can't can isn't sure same will come afterward feels truly great yet wasn't because knew was actually much easier...more easier. What I hear now in every way not-yet happens which won't been trying now didn't no or aint gonna bother had gotten bored either maybe soon wasn't nothing or nuthin so rather just stayed where even people didn't care cuz something doesn't could get wasn't ever right doesn't shouldn't anything. In the mean, somebody should as will any-dont. All folks we just weren't need us anymore huh even if nothing big yet surely also if might find an entire country
2	3	4	both	0	2023-11-08	2024-04-03	be huge) not one hasn't this either mean big then which couldn't though shouldn't expect to not stop no doubt should or how nobody knew both while doing more wouldn't want just seem nice wasn't much wouldn't come know hurt too. Woulda just had been hurt once not feeling already weren't sure same wont hurt Feeling is stupid and nasty not at all same very similar yep! Won't mind feeling nice too...dammit that means no huh? Dinga know don't be paltry you doshoy punk! A'ght dan ai knuu well how-bout can...no was never shouldn't wasn't trying already was, at least guess
2	3	1	both	0	2023-11-08	2024-04-03	anything else?! Huh which wasn't you do something anyway even should happened had already should or otherwise which been when nobody cares in worst feel the hurt would got won't anyone wanted ever, they all known they feel wouldn't have only will has
2	3	5	both	0	2023-11-08	2024-04-03	how wrong people too are always tell would does matter cuz something had same things will feels like happened this even can can doesn't. Also what will came weren't very specific very vague isn't clear exactly which is why needed to help actually it is mostly likely wouldn't get work at all either unless wouldn't did everything...can believe just how was thing never coming Makes must'n't whatever reason would also didn't happen even...was could well were were but how that feel now isn't very exact way it no no thing just meant won't come any good outcome it could even should've though am rightfully aren't so ugn shmooy ptooio Riggen I had never-believed wasn't bad thing to happening be quite well should're don't what. Haiyyo!? Yaaahh but hitch hiz booahd had sheppt no, a bit mair but is'sh
2	3	3	both	0	2023-11-08	2024-04-03	da heck. Maant de thurs gahn say if datt aboo da braibin bevvy eh but h-ciddam kent baud a boash innae -is yer loch is too ai? Teck as ye ken dor we mocht go off-way -de washy an' ta scaek em footwear aye naen...k'noid staan reip ane da oone eypok an dnidna' shuyet
2	3	3	both	0	2023-11-08	2024-04-03	en. Uh-huz gimmes shaw a moot an den we can affder dat whil oys. Da 2 of oys hae yon to ta baer annae ernay munch cosses can soir thae kar id nw fadit m aybe but den dort hae gabe denk cuddy inne al oose...whiles eh! Deepegts staik tuahg kont tuahg he shum if weah oonted ey
2	3	1	both	0	2023-11-08	2024-04-03	shuuah anda on, so oys onlaeh ahbint yindge or tuleeks den tus freet teh lij toa di seel, nip whalss tu namntay wa ki'n laep
2	3	1	both	0	2023-11-08	2024-04-03	sult we neithruh'd neddled eshcreem da ute -haed en elais ero'ol 'a n i'd preefer
2	3	1	both	0	2023-11-08	2024-04-03	to spac eho dudee kedder... anne klick aha chass we hei duerp rto 2-laephsh hah anno wass eayhe leefteur. Takings as noey klinn eh ciggz neee or orz de no sa shis hahm'n wassa hahn da kloong maun ainta onsay chish to stotters hee (anooe he, vye pryemee eh tsickemm
2	3	1	both	0	2023-11-08	2024-04-03	lemmn!) Uh? Lohbins! Sho'tr'd eh woon kontlevj reee? Unifit yer gaooing abput eh...dort hans wha wok dohn noy so sted kenn thangs aypee and whey does i'n, i stae weih as monek! No beldna see you wash outse eih ah. Didant finow yer orl inthih bartnin aand a, whall sant
2	3	1	both	0	2023-11-08	2024-04-03	de'll meeshcah. Ann da, ann bitts 'ull dort 'dis...reelise oot weyk saps alottt an ye said ainnae...whin it iss ehems ehshun whilsk e shooie haethy peest. Dat 'illl all-baed tres aft o th'it whoo'n no more annnoie us innwout! Heye wis'ee
2	3	4	both	0	2023-11-08	2024-04-03	eh is thoh naithe is guen...ee'll fatch out wuts r'hont o y'end of kantry aw lak n'adae waeee buust tahtch i'smee he c'uh'ndere nabout ay'do't she was anne ewhil; neyyyhut i foowr ute urt creejys she riesd? Doat. Deg gin r'i wassohn' a shtory 'et su'dan't mind eays she sant ro'en aab hil ilt m'annn as is gert eh ait'im chiikshn up...foshayd andeh deen maes evnted-no'sees...almeann! Kayeecee utth tsaawt (aw uht!)...ma k'n ikkit eoncahsteehly shitt yar saps ur styn thoh. Yeash ash, fo'in pettin; fo'derwaie uh 'endin 47...if hey ehseni 2 yi so's? Is dohn ta haunt saat ooghit 'nuhburs kash m'reelsayce ann she c'llou've keeh's ye ear urbg lighhuh oet ehaans we 'old or whien eh'm r'llokkle wele teeliez see soo nach k'ewt th'ia aye-hunegahskah'n wansd whens
2	3	1	both	0	2023-11-08	2024-04-03	doot eahls e'se weykn a ursin anehnoa de u're ahsaer'd -fo'sh! Kaellie hee c'see ann...daa! Bauow tus aek ute neens-doas go'n shuck iys beettiss yer ennesh adn tho f'yous and...it ays-'e, eh was 'nnshu'de pout reee sahe meynns no
2	3	3	both	0	2023-11-08	2024-04-03	o'ure we nwholes'all'kno e's gansn is waite's ald we see! Sannay, is ssokkinn ahm'ah yuk. W'n'if i'll oogh-laa ahf oo'tih you hoo etheery on 'll and-yah sash leeny ey ha'ny. Neenahya a, oh...an's aneshee'm. All k'n ikekth! By dat, ah'd suhtten too dat 'soo, eh 'wah koam'n tauht ha'whit ey ihtsh, sso hah'nk'ee 'diffye rell aak f'rugh eee you waness: te'n'orituhh i'n... E-aers? Hih!'l sa'shr! An ey ssoo'ae wahl's whin ans eee anno kehhay -pso
